Clave municipio,Municipio,Electricidad (%),Computadoras (%),Internet (%),Infraestructura adaptada (%),Materiales adaptados (%),Agua potable (%),Lavabo de manos (%),Índice infraestructura
002,Azcapotzalco,99.5,75.3,54.5,37.9,33.3,99.3,98.5,0.7
003,Coyoacán,100.0,79.4,68.7,39.5,32.7,99.3,98.2,0.7
004,CUAJIMALPA DE MORELOS,100.0,85.8,74.5,48.9,44.0,99.3,98.3,0.8
005,GUSTAVO A. MADERO,99.7,79.6,61.2,34.7,28.0,99.2,98.7,0.7
006,Iztacalco,99.5,76.9,57.7,38.7,35.0,99.4,98.5,0.7
007,Iztapalapa,99.2,70.0,66.4,37.7,35.8,99.0,97.8,0.7
008,La Magdalena Contreras,100.0,84.9,74.5,48.9,37.5,100.0,99.0,0.8
009,Milpa Alta,100.0,68.3,68.1,37.7,31.0,99.7,98.6,0.7
010,Álvaro Obregón,99.7,77.7,70.1,40.1,35.0,99.0,98.0,0.7
011,Tláhuac,100.0,67.3,63.3,45.2,45.2,99.7,98.5,0.7
012,Tlalpan,100.0,76.5,70.0,45.5,40.0,99.6,98.5,0.7
013,Xochimilco,100.0,65.6,59.9,44.5,45.0,99.5,98.5,0.7
014,Benito Juárez,100.0,89.6,91.6,50.0,43.0,99.5,99.0,0.8
015,CUAUHTEMOC,98.5,72.5,62.0,39.7,35.4,98.1,97.7,0.7
016,Miguel Hidalgo,99.5,82.8,83.4,53.0,50.5,99.7,98.5,0.8
017,Venustiano Carranza,100.0,68.1,55.1,38.4,34.0,98.1,97.9,0.7
